model_scale	layers	training_seconds	total_seconds	peak_vram_mb	mfu_percent	total_tokens_M	num_steps	num_params_M	loss	batch_size	num_heads	matrix_lr	beta2	warmdown_ratio
1	8	1008.9041459560394	3050.852751016617	0.0	0.021146669450633853	3.670016	14	50.332176	6.161080408842929	262144	6	0.001	0.999	0.05
1	8	1008.9124300479889	3181.316827058792	0.0	0.02114649581717575	3.670016	14	50.332176	6.161080408842929	262144	6	0.001	0.999	0.2
1	8	1093.8056449890137	3160.366175889969	0.0	0.019505259073809872	3.670016	14	50.332176	6.161080408842929	262144	6	0.001	0.999	0.7
1	8	1068.9007029533386	2801.9974682331085	0.0	0.01995972350187309	3.670016	14	50.332176	6.16115376374089	262144	6	0.001	0.95	0.05
1	8	968.4143302440643	4084.1933381557465	0.0	0.02203082070928203	3.670016	14	50.332176	6.16115376374089	262144	6	0.001	0.95	0.2
1	8	1242.279147863388	3305.9004049301147	0.0	0.034348097234990535	4.718592	18	50.332176	5.905058917397855	262144	6	0.001	0.95	0.7
1	8	577.822235584259	1693.124695777893	0.0	0.055384583271532783	4.194304	16	50.332176	6.035345856389417	262144	6	0.001	0.8	0.05
1	8	365.97754287719727	558.7993097305298	0.0	0.3206270328173092	8.388608	32	50.332176	5.567179829233443	262144	6	0.001	0.8	0.2
1	8	372.47155237197876	565.8329079151154	0.0	0.31503692806396727	8.388608	32	50.332176	5.558879239100439	262144	6	0.001	0.8	0.7
1	8	368.208847284317	560.4187710285187	0.0	0.31868406888082723	8.388608	32	50.332176	5.5743235952348495	262144	6	0.04	0.999	0.05
1	8	368.3376498222351	561.225014925003	0.0	0.3185726295075085	8.388608	32	50.332176	5.57342613786489	262144	6	0.04	0.999	0.2
