model_scale	layers	training_seconds	total_seconds	peak_vram_mb	mfu_percent	total_tokens_M	num_steps	num_params_M	loss	batch_size	num_heads	matrix_lr	beta2	warmdown_ratio
20	8	360.23758602142334	365.8699951171875	2601.4072265625	11.075018651383134	198.705152	758	50.332176	3.7709895817844568	262144	6	0.001	0.999	0.05
20	8	360.418643951416	366.03462529182434	2601.4072265625	11.069455065854747	198.705152	758	50.332176	3.769340760144138	262144	6	0.001	0.999	0.2
20	8	360.09436893463135	365.689875125885	2601.4072265625	11.064611355306425	198.443008	757	50.332176	3.86851306314602	262144	6	0.001	0.999	0.7
20	8	360.3604290485382	366.1197712421417	2601.4072265625	11.041641040835827	198.180864	756	50.332176	3.77666604506851	262144	6	0.001	0.95	0.05
20	8	360.1974744796753	365.78609323501587	2601.4072265625	11.09105978743446	198.967296	759	50.332176	3.7858367925491376	262144	6	0.001	0.95	0.2
20	8	360.287748336792	365.96528244018555	2601.4072265625	11.073476693376323	198.705152	758	50.332176	3.9137691222523263	262144	6	0.001	0.95	0.7
20	8	360.3601303100586	366.0173330307007	2601.4072265625	11.056451334024871	198.443008	757	50.332176	3.770795863742945	262144	6	0.001	0.8	0.05
20	8	360.2357430458069	365.87321615219116	2601.4072265625	11.060269061055907	198.443008	757	50.332176	3.771342442889415	262144	6	0.001	0.8	0.2
20	8	360.37146759033203	366.0117726325989	2601.4072265625	11.070904172280073	198.705152	758	50.332176	3.9024130636292766	262144	6	0.001	0.8	0.7
20	8	360.12580394744873	365.7562699317932	2601.4072265625	11.07845630717061	198.705152	758	50.332176	4.970952906584344	262144	6	0.04	0.999	0.05
20	8	360.2685775756836	365.8992426395416	2601.4072265625	11.088870840804125	198.967296	759	50.332176	4.817913682747146	262144	6	0.04	0.999	0.2
20	8	360.23531579971313	365.9752278327942	2601.4072265625	10.897413231004228	195.559424	746	50.332176	4.946753889623409	262144	6	0.04	0.999	0.7
20	8	360.00890827178955	365.6738941669464	2601.4072265625	10.963528869604845	196.608	750	50.332176	4.8257880701886835	262144	6	0.04	0.95	0.05
20	8	360.43045449256897	366.1050000190735	2601.4072265625	10.950706328934983	196.608	750	50.332176	4.818672386752168	262144	6	0.04	0.95	0.2
20	8	360.2664086818695	365.97296047210693	2601.4072265625	10.866862746803875	195.035136	744	50.332176	5.248521856131932	262144	6	0.04	0.95	0.7
20	8	360.245747089386	365.98837971687317	2601.4072265625	10.926709363580743	196.083712	748	50.332176	4.865117235143913	262144	6	0.04	0.8	0.05
20	8	360.3118495941162	366.07197523117065	2601.4072265625	10.924704758796842	196.083712	748	50.332176	4.513337726834603	262144	6	0.04	0.8	0.2
20	8	360.366943359375	366.10655665397644	2601.4072265625	10.878631984124015	195.29728	745	50.332176	4.849480866535995	262144	6	0.04	0.8	0.7
20	8	360.4341597557068	366.10234570503235	2601.4072265625	10.920997556335003	196.083712	748	50.332176	5.319113983861957	262144	6	0.1	0.999	0.05
20	8	360.22291898727417	365.9515902996063	2601.4072265625	10.912595035159685	195.821568	747	50.332176	5.527070033672759	262144	6	0.1	0.999	0.2
20	8	360.4047064781189	366.04065227508545	2601.4072265625	10.936689359719884	196.345856	749	50.332176	5.571798857608174	262144	6	0.1	0.999	0.7
20	8	360.1838026046753	365.8672182559967	2601.4072265625	10.943396926869601	196.345856	749	50.332176	5.5632626974774	262144	6	0.1	0.95	0.05
20	8	360.0704426765442	365.80361795425415	2601.4072265625	10.932029156994046	196.083712	748	50.332176	5.452507692850583	262144	6	0.1	0.95	0.2
20	8	360.33671379089355	365.9952640533447	2601.4072265625	11.101576143248241	199.22944	760	50.332176	5.803375504010833	262144	6	0.1	0.95	0.7
20	8	360.0492241382599	365.69623947143555	2601.4072265625	11.065998692351132	198.443008	757	50.332176	5.792902597216093	262144	6	0.1	0.8	0.05
20	8	360.4065146446228	366.0144233703613	2601.4072265625	11.069827603006745	198.705152	758	50.332176	5.632593460980198	262144	6	0.1	0.8	0.2
20	8	360.425475358963	366.06753754615784	2601.4072265625	11.069245258379837	198.705152	758	50.332176	5.861743159624177	262144	6	0.1	0.8	0.7
20	8	360.15652894973755	365.7762653827667	2601.4072265625	11.06270169560653	198.443008	757	50.332176	6.402961137091269	262144	6	0.8	0.999	0.05
20	8	360.2413785457611	365.892662525177	2601.4072265625	11.104514094150066	199.22944	760	50.332176	6.414017910960128	262144	6	0.8	0.999	0.2
20	8	360.3169152736664	365.94595098495483	2601.4072265625	11.102186147211984	199.22944	760	50.332176	6.388495608379854	262144	6	0.8	0.999	0.7
20	8	360.38043451309204	365.9979829788208	2601.4072265625	11.100229319502995	199.22944	760	50.332176	6.460953376694555	262144	6	0.8	0.95	0.05
20	8	360.20958948135376	365.85467863082886	2601.4072265625	11.090686759586605	198.967296	759	50.332176	6.433592191521621	262144	6	0.8	0.95	0.2
20	8	360.2201008796692	365.9223189353943	2601.4072265625	11.075556234573458	198.705152	758	50.332176	6.3480827531590345	262144	6	0.8	0.95	0.7
20	8	360.34567308425903	365.92612624168396	2601.4072265625	11.08649839067955	198.967296	759	50.332176	6.388580009962706	262144	6	0.8	0.8	0.05
20	8	360.1057159900665	365.7111704349518	2601.4072265625	11.079074302243384	198.705152	758	50.332176	6.1993543935649855	262144	6	0.8	0.8	0.2
20	8	360.12257266044617	365.77730202674866	2601.4072265625	10.9600684844441	196.608	750	50.332176	6.442321564597679	262144	6	0.8	0.8	0.7
20	8	360.4292526245117	366.1573441028595	2601.4072265625	10.92114624229043	196.083712	748	50.332176	6.2611858309975315	262144	6	0.9	0.999	0.05
20	8	360.4024040699005	366.1204822063446	2601.4072265625	10.921959824519604	196.083712	748	50.332176	6.156393551060976	262144	6	0.9	0.999	0.2
20	8	360.2644553184509	366.0198152065277	2601.4072265625	10.911336878395433	195.821568	747	50.332176	6.400357070903397	262144	6	0.9	0.999	0.7
20	8	360.40524101257324	366.1099462509155	2601.4072265625	10.921873851924396	196.083712	748	50.332176	6.135168753016958	262144	6	0.9	0.95	0.05
20	8	360.401570558548	366.0269980430603	2601.4072265625	10.89238620849199	195.559424	746	50.332176	6.273216795873568	262144	6	0.9	0.95	0.2
20	8	360.04363560676575	365.8085525035858	2601.4072265625	10.932843101859193	196.083712	748	50.332176	6.266922835134671	262144	6	0.9	0.95	0.7
20	8	360.1937892436981	365.88812947273254	2601.4072265625	10.943093513101635	196.345856	749	50.332176	6.2592987103895155	262144	6	0.9	0.8	0.05
20	8	360.1495168209076	365.86203122138977	2601.4072265625	10.900009338684992	195.559424	746	50.332176	6.343138603423414	262144	6	0.9	0.8	0.2
20	8	360.2240786552429	365.87010860443115	2601.4072265625	10.927366634141691	196.083712	748	50.332176	6.231378723114024	262144	6	0.9	0.8	0.7
20	8	360.42896127700806	366.13242864608765	2601.4072265625	10.921155070240003	196.083712	748	50.332176	6.359187440076797	262144	6	0.99	0.999	0.05
20	8	360.1536133289337	365.86101603507996	2601.4072265625	10.91469498516747	195.821568	747	50.332176	6.238291974263774	262144	6	0.99	0.999	0.2
20	8	360.29617261886597	365.93862199783325	2601.4072265625	10.99919894293822	197.394432	753	50.332176	6.3946204762153975	262144	6	0.99	0.999	0.7
20	8	360.3327600955963	365.9513852596283	2601.4072265625	11.086895689631746	198.967296	759	50.332176	6.433837510142551	262144	6	0.99	0.95	0.05
20	8	360.2198028564453	365.88658475875854	2601.4072265625	11.075565397792552	198.705152	758	50.332176	6.4297264010136335	262144	6	0.99	0.95	0.2
20	8	360.4084346294403	366.0257751941681	2601.4072265625	11.084567787223046	198.967296	759	50.332176	6.409305239697227	262144	6	0.99	0.95	0.7
20	8	360.1084358692169	365.7594473361969	2601.4072265625	11.078990622606366	198.705152	758	50.332176	6.498895719796021	262144	6	0.99	0.8	0.05
20	8	360.1146078109741	365.73112630844116	2601.4072265625	11.06398951077098	198.443008	757	50.332176	6.457548445645203	262144	6	0.99	0.8	0.2
20	8	360.2528245449066	365.8577558994293	2601.4072265625	11.04493908660404	198.180864	756	50.332176	6.362967229504141	262144	6	0.99	0.8	0.7
