model_scale	layers	training_seconds	total_seconds	peak_vram_mb	mfu_percent	total_tokens_M	num_steps	num_params_M	loss	batch_size	num_heads	matrix_lr	beta2	warmdown_ratio
20	8	360.52196645736694	389.59612679481506	2601.4072265625	10.193407418748661	183.238656	699	50.332176	3.770247255676037	262144	6	0.001	0.999	0.05
20	8	360.35384798049927	366.3252387046814	2601.4072265625	10.198163022550135	183.238656	699	50.332176	3.7682392429558833	262144	6	0.001	0.999	0.2
20	8	360.05476665496826	365.93566823005676	2601.4072265625	10.221447871166724	183.5008	700	50.332176	3.8743534629263006	262144	6	0.001	0.999	0.7
20	8	360.14726758003235	366.15276288986206	2601.4072265625	10.204012686814927	183.238656	699	50.332176	3.7841137660837108	262144	6	0.001	0.95	0.05
20	8	360.3466110229492	366.33481097221375	2601.4072265625	10.213169530528685	183.5008	700	50.332176	3.775436849082166	262144	6	0.001	0.95	0.2
20	8	360.3542070388794	366.32521533966064	2601.4072265625	10.212954244021866	183.5008	700	50.332176	3.899206707834994	262144	6	0.001	0.95	0.7
20	8	360.4295132160187	366.4038143157959	2601.4072265625	10.196022114609269	183.238656	699	50.332176	3.7881978645448586	262144	6	0.001	0.8	0.05
20	8	360.42644333839417	366.4985065460205	2601.4072265625	10.196108957682876	183.238656	699	50.332176	3.7892072712956684	262144	6	0.001	0.8	0.2
20	8	360.3348753452301	366.3129267692566	2601.4072265625	10.198699984250712	183.238656	699	50.332176	3.9091734951441244	262144	6	0.001	0.8	0.7
20	8	360.14175057411194	365.99644351005554	2601.4072265625	10.455940951177146	187.695104	716	50.332176	4.7012684796646695	262144	6	0.04	0.999	0.05
20	8	360.38293170928955	366.2886805534363	2601.4072265625	10.463743665082559	187.957248	717	50.332176	4.553302000188586	262144	6	0.04	0.999	0.2
20	8	360.1693570613861	366.0505757331848	2601.4072265625	10.395903599695774	186.646528	712	50.332176	4.749884715678095	262144	6	0.04	0.999	0.7
20	8	360.03477692604065	365.9873206615448	2601.4072265625	10.296087958171697	184.81152	705	50.332176	4.6682022636329865	262144	6	0.04	0.95	0.05
20	8	360.46119117736816	366.4050552845001	2601.4072265625	10.357892959679154	186.12224	710	50.332176	4.60362338724278	262144	6	0.04	0.95	0.2
20	8	360.072306394577	366.01835465431213	2601.4072265625	10.339453734642284	185.597952	708	50.332176	4.864895911943704	262144	6	0.04	0.95	0.7
20	8	360.3034768104553	366.48579359054565	2601.4072265625	10.243999147728196	184.025088	702	50.332176	4.736133146556449	262144	6	0.04	0.8	0.05
20	8	360.20081758499146	366.13896012306213	2601.4072265625	10.335764860428775	185.597952	708	50.332176	4.808412444838438	262144	6	0.04	0.8	0.2
20	8	360.23466086387634	366.13151478767395	2601.4072265625	10.305181247549346	185.073664	706	50.332176	4.9420143972704675	262144	6	0.04	0.8	0.7
20	8	360.03043508529663	365.9860589504242	2601.4072265625	10.399914981319561	186.646528	712	50.332176	5.488134399494118	262144	6	0.1	0.999	0.05
20	8	360.340051651001	366.22537636756897	2601.4072265625	10.450186874323888	187.695104	716	50.332176	5.885597651078037	262144	6	0.1	0.999	0.2
20	8	360.0949594974518	365.9863154888153	2601.4072265625	10.472111645049683	187.957248	717	50.332176	5.824844310630093	262144	6	0.1	0.999	0.7
20	8	360.045649766922	365.9198877811432	2601.4072265625	10.399475505393456	186.646528	712	50.332176	5.328018449500829	262144	6	0.1	0.95	0.05
20	8	360.0049030780792	365.9093973636627	2601.4072265625	10.445099789711644	187.43296	715	50.332176	5.448699581894484	262144	6	0.1	0.95	0.2
20	8	360.0936224460602	366.0390202999115	2601.4072265625	10.472150528691536	187.957248	717	50.332176	5.5891276226801825	262144	6	0.1	0.95	0.7
20	8	360.1420030593872	365.98361229896545	2601.4072265625	10.604034663603247	190.316544	726	50.332176	5.4941652614640555	262144	6	0.1	0.8	0.05
20	8	360.3025014400482	366.07233452796936	2601.4072265625	10.599311048348902	190.316544	726	50.332176	5.926811965414047	262144	6	0.1	0.8	0.2
20	8	360.2882559299469	366.1325228214264	2601.4072265625	10.599730136648676	190.316544	726	50.332176	5.611788981486848	262144	6	0.1	0.8	0.7
20	8	360.3122661113739	366.11066198349	2601.4072265625	10.77666107127957	193.462272	738	50.332176	6.186411576063234	262144	6	0.8	0.999	0.05
20	8	360.1812584400177	365.9625885486603	2601.4072265625	10.810197814876982	193.98656	740	50.332176	6.395730289529494	262144	6	0.8	0.999	0.2
20	8	360.3836808204651	366.115309715271	2601.4072265625	10.818926053177123	194.248704	741	50.332176	6.289847300178565	262144	6	0.8	0.999	0.7
20	8	360.45332860946655	366.25200867652893	2601.4072265625	10.802038277655852	193.98656	740	50.332176	6.372531773065946	262144	6	0.8	0.95	0.05
20	8	360.47771692276	366.26350951194763	2601.4072265625	10.80130745996212	193.98656	740	50.332176	6.212230569622247	262144	6	0.8	0.95	0.2
20	8	360.25613594055176	366.0607204437256	2601.4072265625	10.793145555108818	193.724416	739	50.332176	6.310783274886043	262144	6	0.8	0.95	0.7
20	8	360.1820878982544	365.9599997997284	2601.4072265625	10.795364464170206	193.724416	739	50.332176	6.408558882520996	262144	6	0.8	0.8	0.05
20	8	360.13211584091187	365.83364248275757	2601.4072265625	10.782051921807119	193.462272	738	50.332176	6.2334965475548145	262144	6	0.8	0.8	0.2
20	8	360.1324348449707	365.94723320007324	2601.4072265625	10.78204237110301	193.462272	738	50.332176	6.387663911089453	262144	6	0.8	0.8	0.7
20	8	360.17239260673523	365.99711179733276	2601.4072265625	10.647566512156281	191.102976	729	50.332176	6.267570884515514	262144	6	0.9	0.999	0.05
20	8	360.4524013996124	366.27607893943787	2601.4072265625	10.654092556552696	191.36512	730	50.332176	6.397427273292659	262144	6	0.9	0.999	0.2
20	8	360.2435448169708	366.13135409355164	2601.4072265625	10.645463496288627	191.102976	729	50.332176	6.42123474076174	262144	6	0.9	0.999	0.7
20	8	360.07916808128357	365.9340810775757	2601.4072265625	10.635510479289126	190.840832	728	50.332176	6.401246700754279	262144	6	0.9	0.95	0.05
20	8	360.43233704566956	366.2702000141144	2601.4072265625	10.654685642860507	191.36512	730	50.332176	6.452746204614564	262144	6	0.9	0.95	0.2
20	8	360.4326148033142	366.6192080974579	2601.4072265625	10.669475595215394	191.627264	731	50.332176	6.1821188985650215	262144	6	0.9	0.95	0.7
20	8	360.2685716152191	366.1188111305237	2601.4072265625	10.659528888478059	191.36512	730	50.332176	6.285543078494681	262144	6	0.9	0.8	0.05
20	8	360.33277201652527	366.2041063308716	2601.4072265625	10.657629682839493	191.36512	730	50.332176	6.484582961238786	262144	6	0.9	0.8	0.2
20	8	360.43051314353943	366.33542943000793	2601.4072265625	10.65473955922755	191.36512	730	50.332176	6.390881109736375	262144	6	0.9	0.8	0.7
20	8	360.29819655418396	366.1414313316345	2601.4072265625	10.629045058032307	190.840832	728	50.332176	6.17853527807596	262144	6	0.99	0.999	0.05
20	8	360.32274317741394	366.1183090209961	2601.4072265625	10.613518289626084	190.578688	727	50.332176	6.196892093247887	262144	6	0.99	0.999	0.2
20	8	360.11322021484375	365.9890191555023	2601.4072265625	10.664127366532208	191.36512	730	50.332176	6.230841782322862	262144	6	0.99	0.999	0.7
20	8	360.2816004753113	366.0211923122406	2601.4072265625	10.807187066481172	193.98656	740	50.332176	6.408948225595001	262144	6	0.99	0.95	0.05
20	8	360.2199556827545	366.0185487270355	2601.4072265625	10.809036510950659	193.98656	740	50.332176	6.421890434358002	262144	6	0.99	0.95	0.2
